|country|national society (english)|national society (local language)|red cross name (local language)|id|name|screen name|location
0|Nepal|Nepal Red Cross Society|नेपाल रेडक्रस सोसाइटी|रेड क्रस|566269074|Nepal Red Cross Society|NepalRedCross|Nepal
3|Nepal|Nepal Red Cross Society|नेपाल रेडक्रस सोसाइटी|रेड क्रस|1021793249114054657|Nepal Red Cross Society Subchapter Bachhauli|NepalRed|
4|Nepal|Nepal Red Cross Society|नेपाल रेडक्रस सोसाइटी|रेड क्रस|1046598273925099520|Nepal Red Cross Society Ganabahal Sub-Chapter|nrcsganabahalsc|
5|Nepal|Nepal Red Cross Society|नेपाल रेडक्रस सोसाइटी|रेड क्रस|1062241697436971008|Nepal Red Cross Society, Surkhet DC|red_nepal|
6|Malawi|Malawi Red Cross Society|Malawi Red Cross Society|Red Cross|949033115061760000|Malawi Red Cross Society|MalawiRedCross|
8|Lebanon|Lebanese Red Cross|الصليب الأحمر اللبناني‎|الصليب الاحمر|2548704956|Lebanese Red Cross|RedCrossLebanon|Lebanon
10|Lebanon|Lebanese Red Cross|الصليب الأحمر اللبناني‎|الصليب الاحمر|31722194|Red Cross Youth AUB|LRCCAUB|Beirut, Lebanon
12|Lebanon|Lebanese Red Cross|الصليب الأحمر اللبناني‎|الصليب الاحمر|84293753|Lebanese Red Cross|RedCrossLEB|
13|Lebanon|Lebanese Red Cross|الصليب الأحمر اللبناني‎|الصليب الاحمر|1021639130|lebanese red cross|pr_cross|
16|Guatemala|Guatemalan Red Cross|Cruz Roja Guatemalteca|Cruz Roja|118124444|CruzRojaGT|CRGuatemalteca|Guatemala
17|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|14567528|Rode Kruis|RodeKruis|Den Haag, Nederland
28|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|109261409|RodeKruis-Vlaanderen|RodeKruisVL|Belgium
31|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|150181982|Rode Kruis - Leuven|RodeKruisLeuven|Leuven
32|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|501149435|RodeKruis Haaglanden|NRKDenHaag|Den Haag
33|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|226514568|Rode Kruis-Gent|RodeKruisGent|Gent
34|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|228065570|RodeKruisLeiden|RodeKruisLeiden|Leiden
35|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|2561406642|Rode Kruis Online|RodeKruisOnline|Nederland
36|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|206720345|Rode Kruis Utrecht|RodeKruisUtrech|Utrecht
37|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|2478803155|Rode Kruis-Vlaanderen Logistieke Eenheid|Log_eenheid|Mechelen
38|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|1343882960|Rode Kruis Rotterdam - 010 2060622|NRKRdamRijnmond|Rotterdam
40|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|253550192|Rode Kruis Amsterdam-Amstelland|RodeKruisAmstAm|Amsterdam, The Netherlands
41|Netherlands|The Netherlands Red Cross|Rode Kruis|Rode Kruis|44962575|Rode Kruis Delft|RodeKruisDelft|Delft
