|created_time|id|link|message|message_tags|name|permalink_url|place|shares|story|story_tags|type|updated_time|from_name|from_id
1513|2016-04-14T14:23:41+0000|1542121719376709_1700926306829582|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1700926306829582/?type=3|"""Planta un árbol"""||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1700926306829582/||23.0|||photo|2016-04-14T14:24:12+0000|Cruz Roja Guatemalteca|1542121719376709
1514|2016-02-06T18:20:55+0000|1542121719376709_1673597719562441|https://www.facebook.com/CruzRojaGT/videos/1673597719562441/|Motorista es atendido en entrada al rancho km. 84 solo heridas leves #caravanadelzorro #traficogt|[]||https://www.facebook.com/CruzRojaGT/videos/1673597719562441/||2.0|||video|2016-02-06T18:20:55+0000|Cruz Roja Guatemalteca|1542121719376709
1515|2015-11-26T16:25:25+0000|1542121719376709_1648892812032932|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1648892812032932/?type=3|¡Feliz jueves! :)||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1648892812032932/||8.0|||photo|2015-11-26T16:27:14+0000|Cruz Roja Guatemalteca|1542121719376709
1516|2015-10-30T18:19:04+0000|1542121719376709_1642116292710584|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1642116292710584/?type=3|¡Te esperamos!||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1642116292710584/|||||photo|2015-10-30T18:19:04+0000|Cruz Roja Guatemalteca|1542121719376709
1517|2015-09-16T15:48:51+0000|1542121719376709_1630839070504973|https://www.facebook.com/CruzRojaGT/photos/a.1630838097171737/1630838407171706/?type=3|||Curso Formación Empresarial|https://www.facebook.com/1542121719376709/posts/1630839070504973/||1.0|Cruz Roja Guatemalteca added 7 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-09-16T15:48:51+0000|Cruz Roja Guatemalteca|1542121719376709
1518|2015-08-04T14:55:18+0000|1542121719376709_1616306335291580|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1616306335291580/?type=3|¡Felicidades Doña Annabella!||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1616306335291580/||4.0|||photo|2015-08-04T14:55:18+0000|Cruz Roja Guatemalteca|1542121719376709
1519|2015-05-11T18:18:31+0000|1542121719376709_1586929944895886|https://www.facebook.com/CruzRojaGT/photos/a.1586928608229353/1586928624896018/?type=3|||Conmemorando el Día de la Madre|https://www.facebook.com/1542121719376709/posts/1586929944895886/||1.0|Cruz Roja Guatemalteca added 16 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-05-11T18:18:31+0000|Cruz Roja Guatemalteca|1542121719376709
1520|2015-02-18T20:43:48+0000|1542121719376709_1553784454877102|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1553783618210519/?type=3|¡Feliz miércoles! #CruzRojaGt|[]|Timeline Photos|https://www.facebook.com/1542121719376709/posts/1553784454877102/||3.0|||photo|2015-02-18T20:43:48+0000|Cruz Roja Guatemalteca|1542121719376709
1521|2019-06-16T20:00:00+0000|1542121719376709_2320919961496877|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2320919811496892/?type=3|En #CruzRojaGT todos somos voluntarios y destinamos nuestro tiempo a brindar asistencia humanitaria.|[]||https://www.facebook.com/1542121719376709/posts/2320919961496877/|||||photo|2019-06-16T20:00:03+0000|Cruz Roja Guatemalteca|1542121719376709
1522|2019-06-03T18:45:00+0000|1542121719376709_2315052355416971|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2315052018750338/?type=3|"#VolcánDeFuego 🌋

Durante la fase de recuperación, médicos de #CruzRojaGT han brindado Atención Médica a 4,142 personas."|[]||https://www.facebook.com/1542121719376709/posts/2315052355416971/||1.0|||photo|2019-06-03T18:45:02+0000|Cruz Roja Guatemalteca|1542121719376709
1523|2019-05-02T21:10:47+0000|1542121719376709_2291556611099879|https://www.facebook.com/CruzRojaGTSanMarcos/photos/a.2104373963135506/2273659929540241/?type=3|"#OccidenteGT

Voluntarios de #CruzRojaGT capacitaron a integrantes de la Coordinadora Municipal para la Reducción de Desastres - COMRED - de San Marcos en Primeros Auxilios. 🚑"|[]|Cruz Roja Guatemalteca|https://www.facebook.com/1542121719376709/posts/2291556611099879/||1.0|Cruz Roja Guatemalteca shared a post.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}, {'id': '1945484422357795_2273660336206867', 'name': '', 'type': 'story', 'offset': 32, 'length': 4}]|photo|2019-05-02T21:10:47+0000|Cruz Roja Guatemalteca|1542121719376709
