,k,alpha,beta,score_all,score_nonzero,Num_of_zero,final_k
108,20,0.001,0.001,0.6885542121913828,0.9863073850308998,80,7
109,20,0.001,0.01,0.6695412047367321,0.9590725365147783,80,13
110,20,0.001,0.05,0.6642254207349515,0.9514580351068225,80,10
111,20,0.001,0.1,0.6531227422898809,0.9355541984152348,80,7
112,20,0.001,0.3,0.6628134421461424,0.9494354711823121,80,4
113,20,0.001,0.5,0.666724148604238,0.9550372939466112,80,4
114,20,0.01,0.001,0.6874663796350806,0.9847491383961965,80,7
115,20,0.01,0.01,0.6684247300331466,0.9574732619393722,80,12
116,20,0.01,0.05,0.654918655487887,0.9381267227258923,80,9
117,20,0.01,0.1,0.6503766208347117,0.9316205649794519,80,7
118,20,0.01,0.3,0.6586651822518346,0.9434933691715468,80,5
119,20,0.01,0.5,0.6821798871464648,0.9771765951016929,80,3
120,20,0.05,0.001,0.6865797975352849,0.9834791694424352,80,7
121,20,0.05,0.01,0.6700921959188116,0.9598617941539734,80,11
122,20,0.05,0.05,0.6609778647502978,0.9468061305882645,80,9
123,20,0.05,0.1,0.6441786261175405,0.9227423563305309,80,8
124,20,0.05,0.3,0.6624218264869987,0.9488745082111061,80,4
125,20,0.05,0.5,0.6832234495859273,0.9786714277852473,80,5
126,20,0.1,0.001,0.6851782653225097,0.9814715692457572,80,8
127,20,0.1,0.01,0.6654418725841378,0.9532005201880893,80,12
128,20,0.1,0.05,0.6586728136028547,0.9435043005662513,80,10
129,20,0.1,0.1,0.648221828321372,0.9285339702981815,80,7
130,20,0.1,0.3,0.6636776497701915,0.9506733902113554,80,5
131,20,0.1,0.5,0.6779414928377435,0.9711053816324435,80,4
132,20,0.3,0.001,0.6859346727265476,0.9825550717434332,80,7
133,20,0.3,0.01,0.6652757933734825,0.9529626229403939,80,15
134,20,0.3,0.05,0.656698613508837,0.9406763923234691,80,9
135,20,0.3,0.1,0.6474127663302998,0.9273750436623213,80,9
136,20,0.3,0.3,0.6623315377377414,0.9487451756783865,80,7
137,20,0.3,0.5,0.6802826513865261,0.974458933067186,80,3
138,20,0.5,0.001,0.6834121389873254,0.9789417126034662,80,8
139,20,0.5,0.01,0.6641916416210888,0.9514096488085867,80,17
140,20,0.5,0.05,0.644573945279612,0.9233086243194443,80,12
141,20,0.5,0.1,0.6592192400183955,0.9442870194858098,80,9
142,20,0.5,0.3,0.658898446674469,0.943827504695861,80,7
143,20,0.5,0.5,0.6584615858751791,0.9432017311184997,80,7
