,k,alpha,beta,score_all,score_nonzero,Num_of_zero,final_k
0,5,0.001,0.001,0.6901295570268065,0.9885639600654255,80,5
1,5,0.001,0.01,0.6829611547374655,0.9782957081374506,80,5
2,5,0.001,0.05,0.6569372962538361,0.941018289228468,80,5
3,5,0.001,0.1,0.6464063213938517,0.9259333792938957,80,5
4,5,0.001,0.3,0.6623253874330749,0.9487363657825126,80,5
5,5,0.001,0.5,0.663954150796414,0.9510694592489174,80,3
6,5,0.01,0.001,0.6902501622639664,0.9887367189186547,80,5
7,5,0.01,0.01,0.6837324247940576,0.979400500380677,80,5
8,5,0.01,0.05,0.6702645036927309,0.9601086133976956,80,5
9,5,0.01,0.1,0.6583674705230718,0.9430669172357514,80,5
10,5,0.01,0.3,0.6602790035657077,0.9458050591616894,80,4
11,5,0.01,0.5,0.665706201987788,0.9535791541987232,80,4
12,5,0.05,0.001,0.6911909823145489,0.9900843800721916,80,5
13,5,0.05,0.01,0.6743440206962484,0.9659522458621937,80,5
14,5,0.05,0.05,0.6657147162540976,0.9535913503099236,80,5
15,5,0.05,0.1,0.6469971265864699,0.9267796678130514,80,5
16,5,0.05,0.3,0.656345061117953,0.9401699524122029,80,4
17,5,0.05,0.5,0.6653250239869335,0.9530331424677696,80,4
18,5,0.1,0.001,0.6910952724593594,0.989947282171515,80,5
19,5,0.1,0.01,0.6804722495267764,0.9747305195924095,80,5
20,5,0.1,0.05,0.646142845636169,0.9255559680734312,80,5
21,5,0.1,0.1,0.6485024701998654,0.9289359708268342,80,5
22,5,0.1,0.3,0.6586090177120614,0.9434129172632231,80,5
23,5,0.1,0.5,0.665416042410273,0.95316352020931,80,4
24,5,0.3,0.001,0.6900710138290891,0.9884801008903168,80,5
25,5,0.3,0.01,0.6816266026845436,0.9763840524940759,80,5
26,5,0.3,0.05,0.6668981693713676,0.9552865669373644,80,5
27,5,0.3,0.1,0.6498396491499351,0.9308513893228799,80,5
28,5,0.3,0.3,0.6504366577725406,0.9317065638363419,80,5
29,5,0.3,0.5,0.6681154209285295,0.9570301975462719,80,4
30,5,0.5,0.001,0.6883364323256654,0.9859954300881153,80,5
31,5,0.5,0.01,0.6805066568013883,0.9747798056884751,80,5
32,5,0.5,0.05,0.6636098265565578,0.9505762380404746,80,5
33,5,0.5,0.1,0.6518796323935327,0.933773527482628,80,5
34,5,0.5,0.3,0.6604500109497752,0.9460500156848132,80,4
35,5,0.5,0.5,0.6644857741429446,0.9518309737723261,80,4
36,8,0.001,0.001,0.7201016877334437,0.9836440579864052,71,8
37,8,0.001,0.01,0.7079375113724031,0.9670280438849836,71,8
38,8,0.001,0.05,0.6978333590553333,0.9292755786415242,66,8
39,8,0.001,0.1,0.6723471913339081,0.9137025933512084,70,7
40,8,0.001,0.3,0.6561936354123569,0.9399530453204031,80,5
41,8,0.001,0.5,0.66773633934607,0.9564871887930192,80,4
42,8,0.01,0.001,0.7174516473175406,0.98002415741829,71,8
43,8,0.01,0.01,0.7028146753707277,0.9600303555321796,71,8
44,8,0.01,0.05,0.690968890318159,0.9438492573933616,71,8
45,8,0.01,0.1,0.6906548812524087,0.9197162991552176,66,8
46,8,0.01,0.3,0.6590464277858807,0.9440394776392346,80,5
47,8,0.01,0.5,0.6710896899705868,0.9612906369848946,80,3
48,8,0.05,0.001,0.7193909636539405,0.9826732235479084,71,8
49,8,0.05,0.01,0.7037126248334858,0.9612569359838853,71,8
50,8,0.05,0.05,0.6875268327762099,0.9391474777613176,71,8
51,8,0.05,0.1,0.6871622837119915,0.9338359240188602,70,8
52,8,0.05,0.3,0.6582218045841983,0.9428582606206084,80,5
53,8,0.05,0.5,0.6660908580634091,0.9541301480367751,80,4
54,8,0.1,0.001,0.7197671277860135,0.9831870559963587,71,8
55,8,0.1,0.01,0.7069385441067735,0.9656634751973968,71,8
56,8,0.1,0.05,0.6852550020709051,0.9312439771732813,70,8
57,8,0.1,0.1,0.6932304019587652,0.9231460126586571,66,8
58,8,0.1,0.3,0.6647390607696531,0.9521937897511247,80,4
59,8,0.1,0.5,0.6610643052286705,0.9469299507329605,80,5
60,8,0.3,0.001,0.7186330507886324,0.9816379302009669,71,8
61,8,0.3,0.01,0.7035123244017742,0.9609833297240731,71,8
62,8,0.3,0.05,0.6812303270254768,0.9353680656049294,72,8
63,8,0.3,0.1,0.6898638605367104,0.9186629298604436,66,8
64,8,0.3,0.3,0.6576744536042107,0.9420742173249504,80,5
65,8,0.3,0.5,0.6700238161567399,0.9597638447650598,80,4
66,8,0.5,0.001,0.7169483914858158,0.9793367203285629,71,8
67,8,0.5,0.01,0.7058505246381475,0.9641772630366447,71,8
68,8,0.5,0.05,0.6794212483693408,0.9328840975019447,72,8
69,8,0.5,0.1,0.6832217272764876,0.928480808862919,70,8
70,8,0.5,0.3,0.6481888263096287,0.9284866971462248,80,5
71,8,0.5,0.5,0.6591843433289817,0.9442370323361088,80,6
72,10,0.001,0.001,0.7353321719652732,0.9792111837728513,66,9
73,10,0.001,0.01,0.7534979973265039,0.9508427109120168,55,10
74,10,0.001,0.05,0.7261306692319506,0.9295875717220623,58,10
75,10,0.001,0.1,0.6966727354792349,0.9324155298080669,67,7
76,10,0.001,0.3,0.6611356173253133,0.9470321004930163,80,4
77,10,0.001,0.5,0.6687494833732239,0.9579384491562397,80,5
78,10,0.01,0.001,0.7215742931973638,0.9856556066871206,71,8
79,10,0.01,0.01,0.748273037439582,0.9533286294302367,57,10
80,10,0.01,0.05,0.7221256699051984,0.9244603986709062,58,10
81,10,0.01,0.1,0.6803388701128595,0.9245630798969631,70,7
82,10,0.01,0.3,0.66455136246285,0.9519249246089473,80,5
83,10,0.01,0.5,0.6629183491231528,0.9495857433385703,80,4
84,10,0.05,0.001,0.7927784459714882,0.9771455264299739,50,10
85,10,0.05,0.01,0.7491849426859567,0.9499234919223853,56,10
86,10,0.05,0.05,0.7247517526550095,0.9278222920462682,58,10
87,10,0.05,0.1,0.6946462166689297,0.9250313940566148,66,9
88,10,0.05,0.3,0.6625451994055239,0.9490512315808856,80,5
89,10,0.05,0.5,0.6634633381179033,0.9503664032499696,80,4
90,10,0.1,0.001,0.7759987564933867,0.9792365260511784,55,10
91,10,0.1,0.01,0.7504305350886866,0.9560773644158748,57,10
92,10,0.1,0.05,0.7237056343017102,0.926483058405571,58,10
93,10,0.1,0.1,0.6910542097848449,0.9202480683064518,66,9
94,10,0.1,0.3,0.6559598495331102,0.9396181628447254,80,6
95,10,0.1,0.5,0.6620505598713243,0.9483426938697348,80,5
96,10,0.3,0.001,0.7631393895465599,0.9722689337972998,57,10
97,10,0.3,0.01,0.7500275953322028,0.9555640036684314,57,10
98,10,0.3,0.05,0.72408767519638,0.9269721445750758,58,10
99,10,0.3,0.1,0.7150919780904352,0.9154559139805089,58,9
100,10,0.3,0.3,0.6517493423587447,0.9335868958111749,80,5
101,10,0.3,0.5,0.6700040397935042,0.9597355164609654,80,5
102,10,0.5,0.001,0.7713949703773283,0.9734269864285333,55,10
103,10,0.5,0.01,0.7489845333261862,0.9542351025549969,57,10
104,10,0.5,0.05,0.7204918776586964,0.9223688288867369,58,10
105,10,0.5,0.1,0.707147106024475,0.9052849424951008,58,9
106,10,0.5,0.3,0.6676064344877359,0.9460732895147059,78,6
107,10,0.5,0.5,0.659188603681621,0.9442431350034031,80,5
108,20,0.001,0.001,0.9035508014738451,0.9389841662375253,10,20
109,20,0.001,0.01,0.8386109797700894,0.892497629072585,16,20
