,k,alpha,beta,score_all,score_nonzero,Num_of_zero,final_k
0,5,0.001,0.001,0.6892584806303128,0.9873162019839615,80,5
1,5,0.001,0.01,0.6767966877366365,0.9694655256768037,80,5
2,5,0.001,0.05,0.6678867545100945,0.9567026483522976,80,5
3,5,0.001,0.1,0.654968439917668,0.9381980355577405,80,5
4,5,0.001,0.3,0.6456727951776828,0.9248826525518159,80,5
5,5,0.001,0.5,0.6614524415775384,0.9474859298272847,80,4
6,5,0.01,0.001,0.6907791673977021,0.9894944830291408,80,5
7,5,0.01,0.01,0.6754534839122489,0.9675414769553835,80,5
8,5,0.01,0.05,0.6615687198034595,0.9476524905292798,80,5
9,5,0.01,0.1,0.657223553247512,0.94142833303022,80,5
10,5,0.01,0.3,0.6588546860015966,0.9437648204887735,80,4
11,5,0.01,0.5,0.6671379760091152,0.9556300737427866,80,4
12,5,0.05,0.001,0.690051818750506,0.9884526052372115,80,5
13,5,0.05,0.01,0.680949848046761,0.9754146472021171,80,5
14,5,0.05,0.05,0.6641116496748372,0.9512950657504424,80,5
15,5,0.05,0.1,0.6515744502295904,0.9333363746531971,80,5
16,5,0.05,0.3,0.6533798456120219,0.9359224815523557,80,4
17,5,0.05,0.5,0.6672036268283887,0.9557241141055298,80,4
18,5,0.1,0.001,0.6904572062966694,0.9890332955060399,80,5
19,5,0.1,0.01,0.6790091677004318,0.972634753733051,80,5
20,5,0.1,0.05,0.6558737715499576,0.9394948619499394,80,5
21,5,0.1,0.1,0.643714209524789,0.9220771109409139,80,5
22,5,0.1,0.3,0.659900114033143,0.9452623255069346,80,5
23,5,0.1,0.5,0.6640139824268193,0.9511551640167952,80,4
24,5,0.3,0.001,0.6895720628888174,0.9877653873812792,80,5
25,5,0.3,0.01,0.6802408865580167,0.9743991077722942,80,5
26,5,0.3,0.05,0.655270115998726,0.9386301661603372,80,5
27,5,0.3,0.1,0.6455753605823084,0.9247430840773605,80,5
28,5,0.3,0.3,0.6606188537343106,0.9462918715653639,80,4
29,5,0.3,0.5,0.6629223360372644,0.9495914543236489,80,3
30,5,0.5,0.001,0.6903357849976051,0.9888593676992721,80,5
31,5,0.5,0.01,0.6850778042062942,0.9813276654846916,80,5
32,5,0.5,0.05,0.6506546433191617,0.9320188134031235,80,5
33,5,0.5,0.1,0.654568602094723,0.9376252948924411,80,5
34,5,0.5,0.3,0.6570906941914577,0.9412380214093854,80,4
35,5,0.5,0.5,0.6667015206267564,0.9550048808977861,80,5
36,8,0.001,0.001,0.6870761326878854,0.9841901360123763,80,8
37,8,0.001,0.01,0.671685523123505,0.9621441277174533,80,8
38,8,0.001,0.05,0.6543578563454503,0.9373234158461855,80,8
39,8,0.001,0.1,0.644477022232721,0.9231697886036274,80,8
40,8,0.001,0.3,0.6608846561593127,0.946672615579556,80,5
41,8,0.001,0.5,0.6641850830753401,0.9514002541349466,80,3
42,8,0.01,0.001,0.6865203368464508,0.9833939960232942,80,8
43,8,0.01,0.01,0.6667579561603789,0.9550857209864887,80,8
44,8,0.01,0.05,0.6527017903313307,0.9349512131773116,80,8
45,8,0.01,0.1,0.6396761400471118,0.9162928492566736,80,7
46,8,0.01,0.3,0.6608180432015166,0.9465771970183886,80,5
47,8,0.01,0.5,0.6705913838866988,0.960576847189055,80,5
48,8,0.05,0.001,0.6875371171757437,0.9848504651436328,80,8
49,8,0.05,0.01,0.6682015251485324,0.9571535360235734,80,8
50,8,0.05,0.05,0.6594003925682924,0.9445465082735,80,8
51,8,0.05,0.1,0.6409037350451182,0.9180512961457099,80,7
52,8,0.05,0.3,0.6611576601437302,0.947063675341019,80,5
53,8,0.05,0.5,0.6562511575093406,0.940035441837704,80,6
54,8,0.1,0.001,0.6883958781616176,0.9860805822315064,80,8
55,8,0.1,0.01,0.6657458706277809,0.9536359768451996,80,8
56,8,0.1,0.05,0.6496625356076204,0.9305976861406454,80,8
57,8,0.1,0.1,0.6508945652667543,0.9323624853821074,80,8
58,8,0.1,0.3,0.6597468871147892,0.9450428382995629,80,4
59,8,0.1,0.5,0.6635192755289879,0.9504465298117935,80,3
60,8,0.3,0.001,0.6862445066069247,0.9829988878423517,80,8
61,8,0.3,0.01,0.6744703786841194,0.966133245142117,80,8
62,8,0.3,0.05,0.6596185206905757,0.9448589620702841,80,8
63,8,0.3,0.1,0.6501556258208607,0.9313040045542058,80,8
64,8,0.3,0.3,0.6511275038864491,0.9326961542157244,80,5
65,8,0.3,0.5,0.6604096347468824,0.945992179502291,80,4
66,8,0.5,0.001,0.6851019044570512,0.9813621874655059,80,8
67,8,0.5,0.01,0.6683944994683723,0.9574299586979387,80,8
68,8,0.5,0.05,0.653144561708825,0.9355854532585872,80,8
69,8,0.5,0.1,0.6400110083641889,0.916772525494649,80,8
70,8,0.5,0.3,0.6607522742742651,0.9464829874739472,80,4
71,8,0.5,0.5,0.6589212396689272,0.9438601541203553,80,4
72,10,0.001,0.001,0.6882309018212245,0.9858442647709431,80,7
73,10,0.001,0.01,0.6705238575601615,0.96048012028888,80,10
74,10,0.001,0.05,0.6480262904569234,0.9282538755193768,80,9
75,10,0.001,0.1,0.6521090539159111,0.9341021583119808,80,8
76,10,0.001,0.3,0.6610808745383909,0.946953685149587,80,5
77,10,0.001,0.5,0.6723604741689932,0.9631109494853146,80,5
78,10,0.01,0.001,0.6866324897530154,0.9835546474840491,80,8
79,10,0.01,0.01,0.6671266029762939,0.9556137826417183,80,10
80,10,0.01,0.05,0.6449336138734558,0.9238238252781935,80,10
81,10,0.01,0.1,0.6343637558784586,0.9086832178799542,80,8
82,10,0.01,0.3,0.6638071554892182,0.9508588984034747,80,5
83,10,0.01,0.5,0.6642702398680211,0.9515222354866248,80,4
84,10,0.05,0.001,0.687531319718146,0.9848421606773443,80,7
85,10,0.05,0.01,0.6698412525183411,0.9595023346884346,80,10
86,10,0.05,0.05,0.6480471664265942,0.9282837789353917,80,10
87,10,0.05,0.1,0.6422265385689816,0.9199461228150277,80,8
88,10,0.05,0.3,0.6615447388082912,0.9476181393740388,80,4
89,10,0.05,0.5,0.6650567084249894,0.9526487985547145,80,3
90,10,0.1,0.001,0.6862723447380283,0.9830387640842028,80,9
91,10,0.1,0.01,0.6710040620799527,0.9611679808172295,80,10
92,10,0.1,0.05,0.6470692101771917,0.9268829226862476,80,10
93,10,0.1,0.1,0.6451751112267387,0.9241697539193824,80,9
94,10,0.1,0.3,0.6610865311824532,0.9469617879100005,80,6
95,10,0.1,0.5,0.6647391410635288,0.9521939047666764,80,4
96,10,0.3,0.001,0.6839482072813151,0.9797095942137757,80,9
97,10,0.3,0.01,0.6685748078751016,0.9576882383075779,80,10
98,10,0.3,0.05,0.6496673683030916,0.9306046086503744,80,10
99,10,0.3,0.1,0.6426528267213912,0.920556751790101,80,10
100,10,0.3,0.3,0.6569761649741446,0.941073966044045,80,6
101,10,0.3,0.5,0.6666246060784496,0.9548947060042657,80,6
102,10,0.5,0.001,0.6835041098105791,0.9790734545935322,80,8
103,10,0.5,0.01,0.6690449679249517,0.9583617108114174,80,10
104,10,0.5,0.05,0.6411549715122936,0.9184111754095017,80,10
105,10,0.5,0.1,0.6357260005859199,0.9106345413798311,80,8
106,10,0.5,0.3,0.6510341402039008,0.9325624170488309,80,5
107,10,0.5,0.5,0.6607984911384384,0.9465491900091144,80,4
108,20,0.001,0.001,0.685031888366992,0.9812618941473129,80,9
109,20,0.001,0.01,0.6646167757863765,0.9520186247750797,80,13
110,20,0.001,0.05,0.6596618332495623,0.9449210043845082,80,10
111,20,0.001,0.1,0.6405474644023869,0.917540962522338,80,8
112,20,0.001,0.3,0.6590280856059947,0.9440132037058844,80,5
113,20,0.001,0.5,0.6694080300772296,0.958881772813329,80,4
114,20,0.01,0.001,0.6854516436673954,0.9818631652532961,80,9
115,20,0.01,0.01,0.6642542413678031,0.9514993187160422,80,14
116,20,0.01,0.05,0.646733997720045,0.9264027534908753,80,12
117,20,0.01,0.1,0.6374110500478609,0.9130482608793683,80,9
118,20,0.01,0.3,0.6572551091392109,0.9414735347129237,80,5
119,20,0.01,0.5,0.6605449296905422,0.9461859803675335,80,5
120,20,0.05,0.001,0.684510067951504,0.9805144216602626,80,9
121,20,0.05,0.01,0.6679789634290517,0.9568347313983715,80,15
122,20,0.05,0.05,0.6507535831324104,0.9321605380004798,80,11
123,20,0.05,0.1,0.6399302741367175,0.9166568791688117,80,9
124,20,0.05,0.3,0.6611946059801829,0.9471165977553971,80,6
125,20,0.05,0.5,0.6626853195037126,0.9492519441539666,80,4
126,20,0.1,0.001,0.6856639012583887,0.982167209910665,80,9
127,20,0.1,0.01,0.6591589767857797,0.9442006964769277,80,16
128,20,0.1,0.05,0.652945216264449,0.9352999043788053,80,11
129,20,0.1,0.1,0.6473119491959554,0.9272306299293414,80,8
130,20,0.1,0.3,0.6623427464825374,0.9487612314479591,80,4
131,20,0.1,0.5,0.6619047320486363,0.9481338053669656,80,5
132,20,0.3,0.001,0.6798750034605454,0.9738750049569975,80,11
133,20,0.3,0.01,0.66454842394155,0.9519207153757338,80,18
134,20,0.3,0.05,0.6395907274425102,0.9161705014717039,80,13
135,20,0.3,0.1,0.6428686906082256,0.9208659622225934,80,13
136,20,0.3,0.3,0.6577478534410225,0.9421793576317349,80,7
137,20,0.3,0.5,0.6637645007266604,0.9507977983381892,80,8
138,20,0.5,0.001,0.678614537455616,0.972069472571558,80,12
139,20,0.5,0.01,0.663399977448702,0.9502756433724651,80,16
140,20,0.5,0.05,0.6459651773569461,0.925301470268058,80,13
141,20,0.5,0.1,0.6372428695680864,0.9128073537056373,80,13
142,20,0.5,0.3,0.6552581191670448,0.9386129815095507,80,6
143,20,0.5,0.5,0.6644113011193684,0.9517242961980142,80,5
