,index,climate_change,crisis_and_disasters,health,migration_and_identity,values_power_and_inclusion,NoDoc,key_word_5,key_word_4,key_word_3,key_word_2,key_word_1
0,0,0.0,270.0,0.0,45.3,0.0,165,communities,support,disaster,society,said
1,1,0.0,0.0,0.0,0.0,0.0,1,undp,materogy,dept,dodma,organised
2,2,0.0,0.0,0.0,0.0,0.0,1,mobilization,phone,thankstoicrc,power,learn
3,3,0.0,0.0,0.0,0.0,0.0,9,conducted,households,children,cancer,campaign
4,4,2.4,0.0,0.0,0.0,0.0,2,value,discrimination,crescent,movement,human
5,5,0.0,0.0,0.0,0.0,0.0,7,looking,ntcheu,support,cooking,teacher
6,6,0.0,0.0,0.0,0.0,0.0,3,dropout,machinga,district,liwonde,youth
7,7,0.0,0.0,0.0,0.0,0.0,1,distribution,launch,president,blankets,society
8,8,0.0,0.0,0.0,0.0,0.0,1,victims,ndifeamodzi,society,floods,donation
9,9,0.0,0.0,0.5,1.0,0.0,28,families,links,offered,services,river
10,10,0.0,2.4,0.0,0.0,0.0,12,water,people,houses,rains,floods
11,11,0.0,0.0,0.0,0.0,0.0,3,redcross,centers,public,workshop,society
12,12,0.0,0.0,0.0,0.0,0.0,17,passa,participatory,graphic,training,facilitators
