,address,lat,lon,name
24,"Valkenburgerstraat 24  Amsterdam,  Noord-Holland 1011 LZ",52.3702505,4.9080238,Afdeling Amsterdam
25,"Schuttersweg 41  Apeldoorn,  Gelderland 7314 LD",52.2140989,5.9433102,Afdeling Apeldoorn
26,"Schuttersweg 41  Apeldoorn,  Gelderland 7314 LD",52.2138774,5.9433802,Afdeling Apeldoorn
27,"Schuttersweg 41  Apeldoorn,  Gelderland 7314 LD",52.2138774,5.9433802,Afdeling Apeldoorn
28,"Cattepoelseweg 263  Arnhem,  Gelderland 6815 CD",52.0036621,5.9098379,Afdeling Arnhem
29,"Cattepoelseweg 263  Arnhem,  Gelderland 6815 CD",52.0036621,5.9098379,Afdeling Arnhem
30,"Cattepoelseweg 263  Arnhem,  Gelderland 6815 CD",52.0036621,5.9098379,Afdeling Arnhem
31,    ,12.52111,-69.968338,Afdeling Aruba
32,"Delft 73  Assen,  Drenthe 9406 GD",52.9964424,6.5372503,Afdeling Assen-Vries
33,"Delft 73  Assen,  Drenthe 9406 GD",52.9964424,6.5372503,Afdeling Assen-Vries
34,"Delft 73  Assen,  Drenthe 9406 GD",52.9964424,6.5372503,Afdeling Assen-Vries
35,"Burgemeester Penstraat 6  Baarn,  Utrecht 3741 AH",52.2127923,5.2932989,Afdeling Baarn-Soest
36,"Burgemeester Penstraat 6  Baarn,  Utrecht 3741 AH",52.2127923,5.2932989,Afdeling Baarn-Soest
37,"Nijkerkerweg 119  Barneveld,  Gelderland 3771 LA",52.1505216,5.5666422,Afdeling Barneveld
38,"Nijkerkerweg 119  Barneveld,  Gelderland 3771 LA",52.1505216,5.5666422,Afdeling Barneveld
39,"Nijkerkerweg 119  Barneveld,  Gelderland 3771 LA",52.1505216,5.5666422,Afdeling Barneveld
40,"Keulseweg 39 A  Reuver,  Limburg 5953 HE",51.2863448,6.0848605,Afdeling Beesel Reuver Offenbeek
41,"Keulseweg 39 A  Reuver,  Limburg 5953 HE",51.2863448,6.0848605,Afdeling Beesel Reuver Offenbeek
42,"Postadres: Heidenendstraat 21  Tegelen,  Limburg 5932 XV",51.3344927,6.1585363,Afdeling Belfeld
43,"Postadres: Heidenendstraat 21  Tegelen,  Limburg 5932 XV",51.3344927,6.1585363,Afdeling Belfeld
44,"Eksterstraat 12  Benschop,  Utrecht 3405 WH",52.0055623,4.9770708,Afdeling Benschop
45,"Pieter Mondriaanstraat 11  Bergen Lb,  Limburg 5854GA",51.6036380,6.0601171,Afdeling Bergen (L
46,"Pieter Mondriaanstraat 11  Bergen Lb,  Limburg 5854GA",51.6036380,6.0601171,Afdeling Bergen (L
47,"Pieter Mondriaanstraat 11  Bergen Lb,  Limburg 5854GA",51.6036380,6.0601171,Afdeling Bergen (L
48,"Karmel 225  BERGEN OP ZOOM,  Noord-Brabant 4613 BS",51.5030394,4.2773428,Afdeling Bergen op Zoom e.o.
49,"Karmel 225  BERGEN OP ZOOM,  Noord-Brabant 4613 BS",51.5030394,4.2773428,Afdeling Bergen op Zoom e.o.
50,"Karmel 255  BERGEN OP ZOOM,  Noord-Brabant 4613 BS",51.5030162,4.2769333,Afdeling Bergen op Zoom e.o.
51,"Postbus 130  Bergen Nh,  Noord-Holland 1860 AC",52.644084,4.725232,Afdeling Bergen-Egmond-Schoorl
52,"Postbus 130  Bergen Nh,  Noord-Holland 1860 AC",52.6749368,4.7063946,Afdeling Bergen-Egmond-Schoorl
53,"Haarloseweg 2 -3  Borculo,  Gelderland 7271 BT",52.111051,6.5229572,Afdeling Berkelland
54,"Haarloseweg 2 -3  Borculo,  Gelderland 7271 BT",52.1117226,6.5222163,Afdeling Berkelland
55,"Haarloseweg 2 -3  Borculo,  Gelderland 7271 BT",52.1117226,6.5222163,Afdeling Berkelland
56,"Nazarethstraat 144  Best,  Noord-Brabant 5683 AB",51.5110576,5.3942077,Afdeling Best
57,"Van Limburg Stirumstraat 1a  Geldermalsen,  Gelderland 4191 GM",51.8775434,5.2905419,Afdeling Betuwe Gaerde
58,"Van Limburg Stirumstraat 1a  Geldermalsen,  Gelderland 4191 GM",51.8775434,5.2905419,Afdeling Betuwe Gaerde
59,"Schoolstraat 16  Beuningen Gld,  Gelderland 6641 EV",51.8618381,5.7723253,Afdeling Beuningen (Gld
60,"Schoolstraat 16  Beuningen Gld,  Gelderland 6641 EV",51.8618381,5.7723253,Afdeling Beuningen (Gld
61,"Jamarstraat 11  Simpelveld,  Limburg 6369 ED",50.8363404,5.9808095,Afdeling Bocholtz-Simpelveld-Vaals
62,"Jamarstraat 11  Simpelveld,  Limburg 6369 ED",50.8363404,5.9808095,Afdeling Bocholtz-Simpelveld-Vaals
63,"Koninginneweg 3 a  Bodegraven,  Zuid-Holland 2411 XK",52.0870989,4.7562827,Afdeling Bodegraven
64,"Koninginneweg 3 a  Bodegraven,  Zuid-Holland 2411 XK",52.0875589,4.7557816,Afdeling Bodegraven
65,"Hoveniersland 22  Zaltbommel,  Gelderland 5301 VA",51.8078488,5.239637,Afdeling Bommelerwaard
66,"Hoveniersland 22  Zaltbommel,  Gelderland 5301 VA",51.8078488,5.2396371,Afdeling Bommelerwaard
67,    ,12.2018902,-68.2623822,Afdeling Bonaire
68,"Eendenkuil 1  Odoorn,  Drenthe 7873 BM",52.850783,6.8450974,Afdeling Borger-Odoorn
69,"Doetinchemseweg 7  Zelhem,  Gelderland 7021 BP",52.0002138,6.2434778,Afdeling Bronckhorst
70,"Doetinchemseweg 7  Zelhem,  Gelderland 7021 BP",52.0052793,6.3484697,Afdeling Bronckhorst
71,"Handelstraat 45  Eerbeek,  Gelderland 6961 AD",52.1103778,6.0554156,Afdeling Brummen-Eerbeek-Hall-Loenen
72,"Handelstraat 45  Eerbeek,  Gelderland 6961 AD",52.1103778,6.0554156,Afdeling Brummen-Eerbeek-Hall-Loenen
73,"Handelstraat 45  Eerbeek,  Gelderland 6961 AD",52.1103778,6.0554156,Afdeling Brummen-Eerbeek-Hall-Loenen
74,"De Insel 18  Brunssum,  Limburg 6442 AJ",50.9493883,5.9820765,Afdeling Brunssum e.o.
75,"De Insel 18  Brunssum,  Limburg 6442 AJ",50.9493883,5.9820765,Afdeling Brunssum e.o.
76,"De Insel 18  Brunssum,  Limburg 6442 AJ",50.9493883,5.9820765,Afdeling Brunssum e.o.
77,"Willem Dreesstraat 3  Bunschoten Spakenburg,  Utrecht 3752 AX",52.2495621,5.3748594,Afdeling Bunschoten/Spakenburg
78,"Willem Dreesstraat 3  Bunschoten Spakenburg,  Utrecht 3752 AX",52.2495621,5.3748594,Afdeling Bunschoten/Spakenburg
79,"Atoomweg 2 B  Groningen,  Groningen 9743 AK",53.2136769,6.5391622,Afdeling Centraal Groningen
80,"Atoomweg 2 B  Groningen,  Groningen 9743 AK",53.2136769,6.5391622,Afdeling Centraal Groningen
81,"Atoomweg 2 B  Groningen,  Groningen 9743 AK",53.2136769,6.5391622,Afdeling Centraal Groningen
82,"Otto van Reesweg 10  Culemborg,  Gelderland 4105 AA",51.9530656,5.2198391,Afdeling Culemborg
83,"Otto van Reesweg 10  Culemborg,  Gelderland 4105 AA",51.9529663,5.2195697,Afdeling Culemborg
84,"Kloosterstraat 16  Lemelerveld,  Overijssel 8152 AP",52.4461864,6.3373823,Afdeling Dalfsen-Lemelerveld-Nieuwleusen
85,"Hoge Steenweg 19  Breda,  Noord-Brabant 4811 CG",51.5949759,4.7907028,Afdeling De Baronie
86,"Hoge Steenweg 19  Breda,  Noord-Brabant 4811 CG",51.5949759,4.7907028,Afdeling De Baronie
87,"Hoge Steenweg 19  Breda,  Noord-Brabant 4811 CG",51.5949759,4.7907028,Afdeling De Baronie
88,"Sint Laurensweg 13  De Bilt,  Utrecht 3732 BA",52.1120558,5.1862711,Afdeling De Bilt
89,"Sint Laurensweg 13  De Bilt,  Utrecht 3732 BA",52.1121153,5.1860253,Afdeling De Bilt
90,"Sint Laurensweg 13  De Bilt,  Utrecht 3732 BA",52.1121324,5.1859605,Afdeling De Bilt
91,"Burgemeester Leenstraat 25  Lochem,  Gelderland 7242 AA",52.1592298,6.4131823,Afdeling De Graafschap
92,"Burgemeester Leenstraat 25  Lochem,  Gelderland 7242 AA",52.1592298,6.4131823,Afdeling De Graafschap
