,formatted_address,lat,lng,query_name
0,"Boerhaavestraat 15A, 6001 AV Weert, Netherlands",51.25578669999999,5.7114425,"Boerhaavestraat 15 A Weert, Limburg 6001 AV"
1,"Rembrandtplein 19, 7442 KH Nijverdal, Netherlands",52.3597058,6.465853099999999,"Rembrandtplein 19 Nijverdal, Overijssel 7442 KH"
2,"Trimpad 4, 3135 GA Vlaardingen, Netherlands",51.9225033,4.3634001,"Trimpad 4 Vlaardingen, Zuid-Holland 3135 GA"
3,"Haarloseweg 2, 7271 BT Borculo, Netherlands",52.1117226,6.522216299999999,"Haarloseweg 2 -3 Borculo, Gelderland 7271 BT"
4,"Valkenburgerstraat 24, 1011 LZ Amsterdam, Netherlands",52.3702505,4.9080238,"Valkenburgerstraat 24 Amsterdam, Noord-Holland 1011 LZ"
5,"Naaldwijk, Netherlands",51.99237340000001,4.2080344,"Postbus 72 Naaldwijk, Zuid-Holland 2670 AB"
6,"Willem Dreesstraat 3, 3752 AX Bunschoten-Spakenburg, Netherlands",52.2495621,5.3748594,"Willem Dreesstraat 3 Bunschoten Spakenburg, Utrecht 3752 AX"
7,"Nijmeegseweg 40, 5916 PT Venlo, Netherlands",51.3894144,6.176216999999999,"Nijmeegseweg 40 Venlo, Limburg 5916 PT"
8,"Waterlandlaan 101, 1441 RT Purmerend, Netherlands",52.5026102,4.9617963,"Waterlandlaan 101 Purmerend, Noord-Holland 1441 RT"
9,"Keulseweg 39A, 5953 HE Reuver, Netherlands",51.28634479999999,6.0848605,"Keulseweg 39 A Reuver, Limburg 5953 HE"
10,"Nachtegaallaan 215, 5702 KM Helmond, Netherlands",51.4978012,5.665859699999999,"Nachtegaallaan 215 Helmond, Noord-Brabant 5702 KM"
11,"Van Limburg Stirumstraat 1, 4191 GM Geldermalsen, Netherlands",51.8775434,5.2905419,"Van Limburg Stirumstraat 1a Geldermalsen, Gelderland 4191 GM"
12,"Richter 44, 4251 DB Werkendam, Netherlands",51.8126239,4.9027939,"Richter 44 Werkendam, Noord-Brabant 4251 DB"
13,"Gelderselaan 14, 6523 LJ Nijmegen, Netherlands",51.83235490000001,5.8736339,"Gelderselaan 14 Nijmegen, Gelderland 6523 LJ"
14,"Hoppad 17, 9301 PG Roden, Netherlands",53.1458435,6.4244355,"Hoppad 17 Roden, Drenthe 9301 PG"
15,"Nering Bögelstraat 62, 7731 EM Ommen, Netherlands",52.5231995,6.421485199999999,"Nering Bögelstraat 62 Ommen, 7731 EM"
16,"Willem van Konijnenburglaan 6, 5613 DW Eindhoven, Netherlands",51.4387588,5.495183,"Willem van Konijnenburglaan 6 Eindhoven, Noord-Brabant 5613 DW"
17,"Bruëlisstraat 21, 4421 CL Kapelle, Netherlands",51.4844545,3.963304,"Bruelisstraat 21 Kapelle, Zeeland 4421 CL"
18,"Graaf Ottolaan 13, 6861 BS Oosterbeek, Netherlands",51.9955806,5.835291,"Graaf Ottolaan 13 Oosterbeek, Gelderland 6861 BS"
19,"Pieter Mondriaanstraat 11, 5854 GA Bergen, Netherlands",51.6036222,6.0601818,"Pieter Mondriaanstraat 11 Bergen Lb, Limburg 5854GA"
20,"Nordhornsestraat 64, 7591 BH Denekamp, Netherlands",52.3796845,7.011357299999999,"Nordhornsestraat 64 Denekamp, Overijssel 7591 BH"
21,"Hertog Aalbrechtweg 10, 1823 DL Alkmaar, Netherlands",52.6443921,4.7674848,"Hertog Aalbrechtweg 10 Alkmaar, Noord-Holland 1823 DL"
22,"Atoomweg 2B, 9743 AK Groningen, Netherlands",53.2136769,6.5391622,"Atoomweg 2 B Groningen, Groningen 9743 AK"
23,"Schuitkant 5, 4328 BE Burgh-Haamstede, Netherlands",51.69730990000001,3.7452641,"Schuitkant 5 Burgh-Haamstede, Zeeland 4328 BE"
24,"Coevorderweg 31, 7776 AC Slagharen, Netherlands",52.6231899,6.5561345,"Coevorderweg 31 Slagharen, Overijssel 7776 AC"
25,"Kwartellaan 13, 3704 ET Zeist, Netherlands",52.0922815,5.2135435,"Kwartellaan 13 Zeist, Utrecht 3704 ET"
26,"Groningen, Netherlands",53.2193835,6.5665017,"Groningen,"
27,"Slenerbrink 272, 7812 HL Emmen, Netherlands",52.7583561,6.889520099999999,"Slenerbrink 272 Emmen, Drenthe 7812 HL"
28,"Vledderstraat 3F, 7941 LC Meppel, Netherlands",52.697814,6.194242999999999,"De Plataan Vledderstraat 3F Meppel, Drenthe 7941 LC"
29,"Wigstraat 15, 8223 EE Lelystad, Netherlands",52.52327469999999,5.494087400000001,"Wigstraat 15 Lelystad, Flevoland 8223 EE"
30,"Slobbegorsedijk 2, 4794 RR Heijningen, Netherlands",51.6495414,4.4133662,"Slobbegorsedijk 2 Heijningen, Noord-Brabant 4794 RR"
31,"Edisonstraat 32C, 8801 PN Franeker, Netherlands",53.1828233,5.5111517,"Edisonstraat 32C Franeker, Friesland 8801 PN"
32,"Van Heeckerenstraat 2a, 2242 GX Wassenaar, Netherlands",52.140218,4.3921858,"Van Heeckerenstraat 2 A Wassenaar, Zuid-Holland 2242 GX"
33,"Nieuweweg 33B, 2132 CK Hoofddorp, Netherlands",52.30519349999999,4.699568699999999,"Nieuweweg 33b Hoofddorp, Noord-Holland 2132 CK"
34,"Blekerstraat 81, 7513 DT Enschede, Netherlands",52.215683,6.884497000000001,"Blekerstraat 81 Enschede, Overijssel 7513 DT"
35,"Karmel 225, 4613 BS Bergen op Zoom, Netherlands",51.5030394,4.2773428,"Karmel 225 Bergen Op Zoom, Noord-Brabant 4613 BS"
36,"Koninginneweg 3A, 2411 XK Bodegraven, Netherlands",52.0875589,4.7557816,"Koninginneweg 3 a Bodegraven, Zuid-Holland 2411 XK"
37,"Constructieweg 6, 3433 NN Nieuwegein, Netherlands",52.0128076,5.1021433,"Constructieweg 6 Nieuwegein, Utrecht 3433 NN"
38,"Kapitein Rietbergenflat 26, 3333 CA Zwijndrecht, Netherlands",51.8094292,4.6331444,"Kapitein Rietbergflat 26 Zwijndrecht, Zuid-Holland 3333 CA"
39,"Gelukken 15A, 5552 LD Valkenswaard, Netherlands",51.359421,5.4514208,"Gelukken 15 A Valkenswaard, Noord-Brabant 5552 LD"
40,"Cortenstraat 7, 6211 HT Maastricht, Netherlands",50.846811,5.69212,"Cortenstraat 7 Maastricht, Limburg 6211 HT"
41,"Hofkampstraat 102, 7607 NJ Almelo, Netherlands",52.3532884,6.6735415,"Hofkampstraat 102 Almelo, Overijssel 7607 NJ"
42,"Clauslaan 2a, 2713 VN Zoetermeer, Netherlands",52.0549052,4.4873572,"Clauslaan 2 a Zoetermeer, Zuid-Holland 2713 VN"
43,"Schoolstraat 16, 6641 DC Beuningen, Netherlands",51.8618381,5.772325299999999,"Schoolstraat 16 Beuningen Gld, Gelderland 6641 EV"
44,"Brummelkant 2, 9502 BB Stadskanaal, Netherlands",52.9965194,6.9603965,"Brummelkant 2 Stadskanaal, Groningen 9502 BB"
45,"Herenstraat 165, 2271 CE Voorburg, Netherlands",52.0664947,4.3619808,"Herenstraat 165 Voorburg, Zuid-Holland 2271 CE"
46,"Torendreef 22, 5531 ET Bladel, Netherlands",51.370369,5.2248339,"Torendreef 22 Bladel, Noord-Brabant 5531 ET"
47,"Hoge Steenweg 19, 4811 CG Breda, Netherlands",51.59497589999999,4.7907028,"Hoge Steenweg 19 Breda, Noord-Brabant 4811 CG"
48,"De Insel 18, 6442 AJ Brunssum, Netherlands",50.9493883,5.9820765,"De Insel 18 Brunssum, Limburg 6442 AJ"
49,"James Wattstraat 4, 8912 AR Leeuwarden, Netherlands",53.1921913,5.7702814,"James Wattstraat 4 Leeuwarden, Friesland 8912 AR"
50,"Langerakstraat 16, 6686 CE Doornenburg, Netherlands",51.89122990000001,5.9979118,"p/a Langerakstraat 16 Doornenburg, Gelderland 6686 CE"
51,"Berkenlaan 1, 7951 CA Staphorst, Netherlands",52.6486927,6.2063254,"Berkenlaan 1 Staphorst, Overijssel 7951 CA"
52,"De Klapstaarten 5, 5085 GA Esbeek, Netherlands",51.46251360000001,5.1368906,"De Klapstaarten 5 Esbeek, Noord-Brabant 5085 GA"
53,"Delft, Netherlands",52.01157689999999,4.3570677,"Delft,"
54,"Hemelsley 20, 6136 HM Sittard, Netherlands",51.0047685,5.8790188,"Hemelsley 20 Sittard, Limburg 6136 HM"
55,"Espelerweg 4, 8303 HX Emmeloord, Netherlands",52.7245977,5.748134299999999,"Espelerweg 4 Emmeloord, Flevoland 8303 HW"
56,"Händelstraat 45, 6961 AB Eerbeek, Netherlands",52.11037779999999,6.0554156,"Handelstraat 45 Eerbeek, Gelderland 6961 AD"
57,"Evertsenstraat 1, 5463 HM Veghel, Netherlands",51.6078748,5.5467325,"Evertsenstraat 1 Veghel, Noord-Brabant 5463 HM"
58,"Burgemeester Penstraat 6, 3741 AH Baarn, Netherlands",52.2127923,5.2932989,"Burgemeester Penstraat 6 Baarn, Utrecht 3741 AH"
59,"Wolvenweg 27, 7963 BG Ruinen, Netherlands",52.7614088,6.3540781,"Wolvenweg 27 Ruinen, Drenthe 7963 BG"
60,"Zeearendstraat 13, 1755 PK Petten, Netherlands",52.7672322,4.657172399999999,"Zeearendstraat 13 Petten, Noord-Holland 1755 PK"
