topic,category,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords,keywords
NATURAL DISASTERS,STORM,hurricane,tornado,wind,cycloon,cyclone,typhoon,wind,winds,,,,,,,,,
NATURAL DISASTERS,EARTHQUAKE,earth quake,earthquake,quake,sism,,,,,,,,,,,,,
NATURAL DISASTERS,FLOOD,flood,drown,tsunami,submerged,higher ground,sand bag,sandbag,rains,rain,,,,,,,,
NATURAL DISASTERS,DROUGHT,drought,water pumps,conserve water,limit water,save water,,,,,,,,,,,,
"RELIEF, AID, SERVICES",IMPROVED HOUSING,housing,rebuilding,build up,roofing,houses,rebuild,home,homes,,,,,,,,,
"RELIEF, AID, SERVICES",TEMPORARY SHELTER,refugee,displace,blanket,shelter,lost their homes,evacuate,restoration of family,evacuating,asylum,evacuees,lost home,camp,camps,tents,tents,evac,population displace
"RELIEF, AID, SERVICES",FORECAST-BASED FINANCING,Forecast Based Financing ,Forecast Based Finance,fbf,,,,,,,,,,,,,,
"RELIEF, AID, SERVICES","AID, VOLUNTEERING, DONATIONS",support,foreign aid,donation,donates,donate,relief,philanthropy,philanthropist,volunteer,distributed,financing,money,financial contribution,funded,funds,funding,
"RELIEF, AID, SERVICES",CASH-BASED AID,cash based aid,cash-based aid,cash,microcredit,microloans,financial relief,financial assistance,cash transfer,money transfer,financial support,cash assistance,CBA,,,,,
"RELIEF, AID, SERVICES",MEDICAL SERVICES,ambulance,blood support,blood donation,donate blood,de-worm,deworm,blood donors,hygiene supplies,hospital,medicine,medical,blood,health care,health support,medic,vaccination,vaccine
HEALTH & SANITATION,DISEASE,sick,desease,infection,bacteria,outbreak,disease,epidemic,infections,ebola,plague,dengue,yellow fever,yellowfever,cholera,measles,rubella,german measles
HEALTH & SANITATION,INSECT,mosquito,insects,mosquito net,Bed net,repellent,profylax,prophylax,standing water,infest,grasshopper,crop eating,crop-eating,nets,pest,pests,,
HEALTH & SANITATION,FOOD SECURITY,nutrition,famine,hunger,hungry,food secur,nutritious,food insecur,food bank,community kitchen,mobile kitchen,,,,,,,
HEALTH & SANITATION,INFANT MORTALITY,infant mortality,pregnant,child birth,newborn death,child mortality,maternal,birth,,,,,,,,,,
HEALTH & SANITATION,WATER & SANITATION,latrines,piped water,access to water,water access,hygiene,soap,sanitation,shower,wash training,w.a.s.h.,wash,drinking water,clean water,,,,
PREPARATION,PREPAREDNESS,workshop,emergency kit,preparedness kits,provisions,supplies kit,supply kit,"disaster kit
",training,trained,,,,,,,,
PREPARATION,EARLY WARNING / EARLY ACTION,contingency,disaster plan,prepare,preparations,forecast,meteorological,warning,evacuation plan,predict,preparing,early action,early warning,early response,on the ground,response,,
PREPARATION,GOVERNANCE,president,government,stakeholder,committee,committee,ministry,minister,governor,,,,,,,,,
