0,"3 Calle 8-40 Zona 1, Ciudad de Guatemala, Guatemala"
1,"Guatemala, 10 de abril de 2019"
2,"6 Avenida 1-99 Zona 1 Barrio La Democracia, Jalapa, Jalapa"
3,"1 Avenida 4-38 Zona 1, Tecún Umán, San Marcos"
4,"3 Avenida Zona 1 Barrio El Porvenir, San Benito, Petén"
5,"Kilometro 164.5 Carretera a Cobán, Purulha, Baja Verapaz"
6,"4 Avenida 3-71 Zona 2, Tejutla, San Marcos"
7,"8 Avenida 3-31 Zona 1, Ciudad de Guatemala, Guatemala"
8,"9 Calle 5 Avenida Zona 1, El Estor, Izabal"
9,"Casa #2 Colonia San Josecito Zona 1, Retalhuleu, Retalhuleu"
10,"All in One SEO Pack 3.1.1 por Michael Torbert de Semper Fi Web Design[269,296]"
11,"#SurOccidenteGT | Madrugada 🚨 Ataque armado se suscitó en Chuatuj, Coa..."
12,"Aldea San Antonio, Serchil, San Marcos"
13,"3 Calle 2-13 Zona 3, Cobán, Alta Verapaz"
14,"En nuestra Fan Page encontrarás noticias semanales, promociones y mucho más."
15,"3ra. Calle 8-40 Zona 1, Ciudad de Guatemala, Guatemala, C.A."
16,"3 Calle Zona 2, Concepción Chiquirichapa, Quetzaltenango"
17,"1 Avenida 3-51 Zona 1, Quetzaltenango, Quetzaltenango"
18,"0 Avenida 5 Calle Zona 2 Barrio el Rosario, Coatepeque, Quetzaltenango"
19,"9 Calle ""A"" atrás de Gobernación Departamental Zona 1, Chiquimula, Chiquimula"
20,"#SurOccidenteGT 🚨 Ataque armado se suscita en Aldea Santa Fe, Coatepequ..."
21,"1 Avenida 3-51 Zona 1, Mazatenango, Suchitepequez"
22,"Calzada Revolución del 71 Zona 1, San Marcos, San Marcos"
23,"Barrio San Pedro Calle Principal frente al Puente Fray Bartolomé, Sacapulas, Quiché"
24,"13 Calle 1-66 Zona 5 Frente a CDAG, Santa Cruz del Quiché, Quiché"
25,"Colonia Colina I 1 Calle atrás del Mercado Cantonal, Santo Tomás de Castilla, Izabal"
26,"6 Avenida 6 Calle ""B"" 6-36 Zona 1, El Palmar, Quetzaltenango"
